OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-TX,USGS Texas Water Science Center,nwistx.01.01801062,Sample-Routine,Water,Surface Water,2018-02-14,12:00:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067254,,SLAR station: 2948150944442002,,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,Weighted-bottle sampler,NWIS-118490766,,,"Temperature, water",,12.7,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01801061,Sample-Routine,Water,Surface Water,2018-02-14,11:15:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067230,,,,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,Weighted-bottle sampler,NWIS-109602204,,,"Temperature, water",,12.3,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01801773,Sample-Routine,Water,Surface Water,2018-04-04,14:00:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067252,,bottle date 4/4/18,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US DH-2 Bag Sampler,NWIS-110580269,,,"Temperature, water",,21.1,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01801256,Sample-Routine,Water,Surface Water,2018-03-01,11:40:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067254,,"L-0660085 X=sta id on bottles is 294815094444200  Sample type is missing in mandatory field, JNV",,"Stable, normal stage",Hurricane,,,USGS,USGS,USGS,,Unknown,NWIS-118490813,,,"Temperature, water",,17.1,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01900036,Sample-Routine,Water,Surface Water,2018-10-22,11:00:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067254,,,,"Stable, high stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Weighted-bottle sampler,NWIS-118490899,,,"Temperature, water",,21.2,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01900035,Sample-Routine,Water,Surface Water,2018-10-22,12:00:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067252,,,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US DH-2 Bag Sampler,NWIS-112076518,,,"Temperature, water",,21.2,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01801255,Sample-Routine,Water,Surface Water,2018-03-01,10:45:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067230,,"L-0660084 Added user code from shipping label.   Sample type is missing in mandatory field, JNV",,"Stable, normal stage",Hurricane,,,40,USGS parameter code 82398,Multiple verticals,,Weighted-bottle sampler,NWIS-109809297,,,"Temperature, water",,19.0,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01801254,Sample-Routine,Water,Surface Water,2018-03-01,12:45:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067252,,"L-0660086 Sample type is missing in mandatory field, JNV",,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-109809248,,,"Temperature, water",,16.8,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01801060,Quality Control Sample-Field Replicate,Water,Surface Water,2018-02-14,12:35:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067252,,,,"Stable, high stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,Weighted-bottle sampler,NWIS-109602152,,,"Temperature, water",,11.4,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01801774,Sample-Routine,Water,Surface Water,2018-04-04,10:57:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067230,,L-0960104 Added user code from shipping,,"Stable, high stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,Weighted-bottle sampler,NWIS-110580008,,,"Temperature, water",,20.2,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01801775,Sample-Routine,Water,Surface Water,2018-04-04,11:33:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067254,,Bottle time 11:33,,"Stable, high stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Weighted-bottle sampler,NWIS-118490857,,,"Temperature, water",,20.2,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01802964,Sample-Routine,Water,Surface Water,2018-08-09,09:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067252,,L-2280106 Added user code TX. 8/17/2018 mec,,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,Weighted-bottle sampler,NWIS-111553374,,,"Temperature, water",,31.3,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01900037,Sample-Routine,Water,Surface Water,2018-10-22,10:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067230,,,,"Stable, high stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Weighted-bottle sampler,NWIS-112076578,,,"Temperature, water",,20.5,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02000245,Sample-Routine,Water,Surface Water,2019-11-22,10:30:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067252,,"L-3370058 Put ice on top of sample to help chill. Close to cut-off temp. Only one WCA received, ASR states two.",,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,Weighted-bottle sampler,NWIS-118183944,,,"Temperature, water",,15.9,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01902795,Sample-Routine,Water,Surface Water,2019-07-10,11:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067252,,L-1920246 X = Added User Code from shipping state.,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US DH-2 Bag Sampler,NWIS-117135836,,,"Temperature, water",,24.6,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01901526,Sample-Routine,Water,Surface Water,2019-05-14,11:45:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067254,,,,"Stable, high stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,Weighted-bottle sampler,NWIS-118490949,,,"Temperature, water",,23.7,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01901468,Sample-Routine,Water,Surface Water,2019-05-14,13:00:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067252,,"L-1370024 Only one WCA received, ASR said two.",,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US DH-2 Bag Sampler,NWIS-116456777,,,"Temperature, water",,23.6,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.01901469,Sample-Routine,Water,Surface Water,2019-05-14,11:00:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067230,,,,"Stable, high stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,US DH-2 Bag Sampler,NWIS-116488261,,,"Temperature, water",,23.6,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02000789,Sample-Routine,Water,Surface Water,2020-01-21,11:45:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042554,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118452168,,,"Temperature, water",,11.8,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02101085,Sample-Routine,Water,Surface Water,2020-11-23,11:30:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042548,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-120634566,,,"Temperature, water",,20.9,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
