u10, v10, wind_speed, ssr, t2m, modis_time_diff_min, red, nir, red_over_nir, ndvi
0.08,0.26,0.27,19238.40,286.70,nan,nan,nan,nan,nan
0.03,1.11,1.11,19699.20,285.68,nan,nan,nan,nan,nan
0.01,1.21,1.21,16883.20,285.51,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.01,1.21,1.21,16883.20,285.51,nan,nan,nan,nan,nan
0.22,0.89,0.92,15206.40,285.75,nan,nan,nan,nan,nan
0.22,0.89,0.92,15206.40,285.75,nan,nan,nan,nan,nan
0.22,0.89,0.92,15206.40,285.75,nan,nan,nan,nan,nan
0.38,0.70,0.80,14464.00,285.81,nan,nan,nan,nan,nan
0.60,0.26,0.65,14284.80,286.22,nan,nan,nan,nan,nan
0.60,0.26,0.65,14284.80,286.22,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.03,1.11,1.11,19699.20,285.68,nan,nan,nan,nan,nan
0.38,0.70,0.80,14464.00,285.81,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.08,0.26,0.27,19238.40,286.70,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.38,0.70,0.80,14464.00,285.81,nan,nan,nan,nan,nan
0.03,1.11,1.11,19699.20,285.68,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.08,0.26,0.27,19238.40,286.70,nan,nan,nan,nan,nan
0.03,1.11,1.11,19699.20,285.68,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.22,0.89,0.92,15206.40,285.75,nan,nan,nan,nan,nan
0.22,0.89,0.92,15206.40,285.75,nan,nan,nan,nan,nan
0.22,0.89,0.92,15206.40,285.75,nan,nan,nan,nan,nan
0.38,0.70,0.80,14464.00,285.81,nan,nan,nan,nan,nan
0.60,0.26,0.65,14284.80,286.22,nan,nan,nan,nan,nan
0.60,0.26,0.65,14284.80,286.22,nan,nan,nan,nan,nan
0.60,0.26,0.65,14284.80,286.22,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.03,1.11,1.11,19699.20,285.68,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.38,0.70,0.80,14464.00,285.81,nan,nan,nan,nan,nan
0.01,1.21,1.21,16883.20,285.51,nan,nan,nan,nan,nan
0.08,0.26,0.27,19238.40,286.70,nan,nan,nan,nan,nan
0.03,1.11,1.11,19699.20,285.68,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.03,1.11,1.11,19699.20,285.68,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.01,1.21,1.21,16883.20,285.51,nan,nan,nan,nan,nan
0.38,0.70,0.80,14464.00,285.81,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.08,0.26,0.27,19238.40,286.70,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.03,1.11,1.11,19699.20,285.68,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.38,0.70,0.80,14464.00,285.81,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.08,0.26,0.27,19238.40,286.70,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.38,0.70,0.80,14464.00,285.81,nan,nan,nan,nan,nan
0.03,1.11,1.11,19699.20,285.68,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.01,1.21,1.21,16883.20,285.51,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.01,1.21,1.21,16883.20,285.51,nan,nan,nan,nan,nan
0.01,1.21,1.21,16883.20,285.51,nan,nan,nan,nan,nan
0.01,1.21,1.21,16883.20,285.51,nan,nan,nan,nan,nan
0.22,0.89,0.92,15206.40,285.75,nan,nan,nan,nan,nan
0.22,0.89,0.92,15206.40,285.75,nan,nan,nan,nan,nan
0.22,0.89,0.92,15206.40,285.75,nan,nan,nan,nan,nan
0.22,0.89,0.92,15206.40,285.75,nan,nan,nan,nan,nan
0.38,0.70,0.80,14464.00,285.81,nan,nan,nan,nan,nan
0.60,0.26,0.65,14284.80,286.22,nan,nan,nan,nan,nan
0.60,0.26,0.65,14284.80,286.22,nan,nan,nan,nan,nan
0.60,0.26,0.65,14284.80,286.22,nan,nan,nan,nan,nan
0.08,0.26,0.27,19238.40,286.70,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.38,0.70,0.80,14464.00,285.81,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.03,1.11,1.11,19699.20,285.68,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.03,1.11,1.11,19699.20,285.68,nan,nan,nan,nan,nan
0.08,0.26,0.27,19238.40,286.70,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.01,1.21,1.21,16883.20,285.51,nan,nan,nan,nan,nan
-0.08,1.15,1.15,18188.80,285.54,nan,nan,nan,nan,nan
0.03,1.11,1.11,19699.20,285.68,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.01,1.21,1.21,16883.20,285.51,nan,nan,nan,nan,nan
0.01,1.21,1.21,16883.20,285.51,nan,nan,nan,nan,nan
0.08,1.64,1.65,18828.80,285.35,nan,nan,nan,nan,nan
0.05,1.31,1.31,19315.20,285.56,nan,nan,nan,nan,nan
0.22,0.89,0.92,15206.40,285.75,nan,nan,nan,nan,nan
0.22,0.89,0.92,15206.40,285.75,nan,nan,nan,nan,nan
